"","region","stock","brood.yr","spawners","recruits","entry.yr","long","lat","loc.sst","w.sst.3","w.sst.2","w.sst.1"
"197","GOA","Chignik",1972,231270,1059136,1974,158.64,56.28,-0.442311102334417,-0.917157249029014,-0.8390513336417,-1.10110173807864
"198","GOA","Chignik",1973,243729,1184603,1975,158.64,56.28,-0.962504577381405,-0.938186794075585,-0.856729322074058,-0.577000929204763
"199","GOA","Chignik",1974,313343,1022585,1976,158.64,56.28,-0.432307964916525,-0.433647212439069,-0.361970354056221,-1.13645771494335
"200","GOA","Chignik",1975,257675,1495175,1977,158.64,56.28,0.221541447365965,-0.44337790296379,-0.0968379969740086,0.412517006830911
"201","GOA","Chignik",1976,276793,1039399,1978,158.64,56.28,0.104428241819653,-0.0171515869223053,-0.231985883798913,-0.606193000778928
"202","GOA","Chignik",1977,328916,1408760,1979,158.64,56.28,0.412057789507402,-0.0797089220570273,0.183533117303923,0.142221233181101
"203","GOA","Chignik",1978,262815,920715,1980,158.64,56.28,-0.0812585465933877,0.220744470202366,0.260006088712998,0.224845001426745
"204","GOA","Chignik",1979,246318,881486,1981,158.64,56.28,0.491335065477387,0.219583418518153,0.216952627063857,0.295167175999252
"205","GOA","Chignik",1980,294481,934879,1982,158.64,56.28,-0.364901285187335,0.266900660061142,0.252767402092087,0.138738078128462
"206","GOA","Chignik",1981,261239,713694,1983,158.64,56.28,0.742365000765641,0.495129516047394,0.67332523500686,0.366796726055712
"207","GOA","Chignik",1982,221611,929505,1984,158.64,56.28,0.903035653069184,0.741439866398969,0.928761436570597,0.979853743958008
"208","GOA","Chignik",1983,428034,1245879,1985,158.64,56.28,0.0920483915207999,0.582599540399278,0.383972438619913,0.877669129183186
"209","GOA","Chignik",1984,268495,1974470,1986,158.64,56.28,0.601764357090303,0.739212623451763,0.669984370586051,-0.109724251943359
"210","GOA","Chignik",1985,369260,784493,1987,158.64,56.28,0.699085281192386,0.684570835833822,1.08171837972241,1.44969299311546
"211","GOA","Chignik",1986,215547,1241982,1988,158.64,56.28,0.289258484991125,0.580294084242206,0.145594629805578,0.713743766329364
"212","GOA","Chignik",1987,214444,1757457,1989,158.64,56.28,0.0979761151128325,0.0296456177639923,-0.312403456518694,-0.422554506718208
"213","GOA","Chignik",1988,255177,664974,1990,158.64,56.28,-0.0476624177460308,-0.384761564588429,-0.365865093523539,-0.20225240631918
"214","GOA","Chignik",1989,557174,1630422,1991,158.64,56.28,-0.00654881555060297,-0.111258574832552,-0.0657616590892384,-0.529477780727899
"215","GOA","Chignik",1990,335860,1011625,1992,158.64,56.28,-0.0678230386119572,-0.0973468510903743,0.118718613728388,0.397954462549422
